Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Predicted
2012-02-17,5574.2,5606.7,5545.2,5564.3,329307516,11512.01,5529.1025
2012-02-21,5561.9,5621.5,5561.75,5607.15,231132126,8169.38,5596.1963
2012-02-22,5609.75,5629.95,5491.35,5505.35,263013427,9694.44,5615.8774
2012-02-23,5490.05,5537.4,5460.8,5483.3,307246519,9987.65,5623.998
2012-02-24,5479.15,5521.4,5405.9,5429.3,364660634,17356.76,5538.2944
2012-02-27,5448.1,5449.8,5268.15,5281.2,235318961,7706.81,5515.7793
2012-02-28,5310.5,5391.1,5306.45,5375.5,208133889,7815.9,5450.599
2012-02-29,5424.95,5458.8,5352.25,5385.2,226022232,8454.41,5392.0522
2012-03-01,5366.0,5372.45,5297.5,5339.75,196867905,6847.63,5450.804
2012-03-02,5369.45,5392.55,5315.05,5359.35,185021526,6768.52,5379.7266
2012-03-03,5360.05,5369.6,5353.4,5359.4,16770991,429.35,5389.318
2012-03-05,5342.55,5344.5,5265.7,5280.35,196421155,6036.63,5370.6626
2012-03-06,5266.0,5382.05,5206.4,5222.4,290396014,9319.01,5345.7144
2012-03-07,5207.05,5243.85,5171.45,5220.45,230726017,7173.14,5377.9443
2012-03-09,5294.1,5342.3,5291.6,5333.55,203005845,7080.66,5256.376
2012-03-12,5420.1,5421.9,5327.3,5359.55,176668237,6484.38,5332.034
2012-03-13,5391.05,5438.65,5390.8,5429.5,179965296,5907.14,5417.145
2012-03-14,5490.55,5499.4,5437.8,5463.9,181714070,7345.67,5440.784
2012-03-15,5462.5,5462.5,5362.3,5380.5,160257651,5961.15,5496.505
2012-03-16,5380.35,5445.65,5305.0,5317.9,267521147,9432.07,5466.971
2012-03-19,5337.35,5340.7,5238.55,5257.05,179877454,6275.89,5446.9385
2012-03-20,5257.15,5297.35,5233.25,5274.85,181345285,6158.0,5349.575
2012-03-21,5267.2,5372.35,5256.0,5364.95,199787985,6807.02,5301.043
2012-03-22,5361.1,5385.95,5205.65,5228.45,205581062,7359.89,5367.7183
2012-03-23,5255.65,5312.0,5220.0,5278.2,172738574,6371.46,5389.8477
2012-03-26,5274.35,5274.95,5174.9,5184.25,169785835,5582.28,5322.851
2012-03-27,5242.95,5277.95,5184.65,5243.15,208775421,7445.92,5280.034
2012-03-28,5231.7,5236.55,5169.6,5194.75,145803597,5411.63,5279.074
2012-03-29,5145.95,5194.3,5135.95,5178.85,242557889,8632.05,5242.752
2012-03-30,5206.6,5307.1,5203.65,5295.55,164790056,6082.93,5200.466
2012-04-02,5296.35,5331.55,5278.8,5317.9,134538287,4583.68,5298.699
2012-04-03,5353.2,5378.75,5344.45,5358.5,152496489,5256.86,5333.73
2012-04-04,5328.65,5338.4,5305.3,5322.9,122106162,4084.37,5377.977
2012-04-09,5282.5,5287.9,5228.0,5234.4,111914936,3680.04,5344.007
2012-04-10,5254.1,5255.8,5211.85,5243.6,156106794,4886.48,5292.4756
2012-04-11,5209.45,5263.65,5190.8,5226.85,167013527,5585.7,5258.3477
2012-04-12,5246.75,5290.6,5246.75,5276.85,152684788,5457.29,5263.693
2012-04-13,5255.7,5306.75,5185.4,5207.45,164225858,7989.27,5290.595
2012-04-16,5190.6,5233.5,5183.5,5226.2,119730347,5165.7,5308.625
2012-04-17,5266.6,5298.2,5208.35,5289.7,178895417,7416.66,5243.094
2012-04-18,5320.7,5342.0,5293.45,5300.0,152743439,5665.77,5293.1973
2012-04-19,5320.6,5342.45,5291.3,5332.4,133549895,5313.33,5340.4062
2012-04-20,5313.95,5336.15,5245.45,5290.85,135252751,5086.54,5344.979
2012-04-23,5277.4,5310.55,5187.15,5200.6,138042341,5065.27,5337.867
2012-04-24,5215.9,5232.35,5180.35,5222.65,155674654,7362.66,5313.057
2012-04-25,5222.2,5236.1,5160.65,5202.0,142910739,5968.34,5239.3374
2012-04-26,5214.75,5215.6,5179.05,5189.0,185899437,6408.49,5235.1807
2012-04-27,5189.0,5223.05,5154.3,5190.6,128759445,5734.59,5218.601
2012-04-28,5209.6,5216.4,5196.35,5209.0,6555703,297.89,5224.0674
